iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2021-10-27,156124.0,53.0,37.857,7266.0,4.0,2.714,3919.225,1.33,0.95,182.4,0.1,0.068,0.98,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-10-28,156166.0,42.0,39.286,7268.0,2.0,2.714,3920.279,1.054,0.986,182.451,0.05,0.068,0.98,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-10-29,156196.0,30.0,37.857,7269.0,1.0,2.429,3921.032,0.753,0.95,182.476,0.025,0.061,0.97,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-10-30,156210.0,14.0,38.571,7272.0,3.0,2.714,3921.384,0.351,0.968,182.551,0.075,0.068,0.96,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-10-31,156250.0,40.0,43.714,7280.0,8.0,3.571,3922.388,1.004,1.097,182.752,0.201,0.09,0.96,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-11-01,156284.0,34.0,34.857,7281.0,1.0,3.0,3923.241,0.854,0.875,182.777,0.025,0.075,0.95,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-11-02,156307.0,23.0,33.714,7281.0,0.0,2.714,3923.819,0.577,0.846,182.777,0.0,0.068,0.95,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-11-03,156323.0,16.0,28.429,7284.0,3.0,2.571,3924.22,0.402,0.714,182.852,0.075,0.065,0.95,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-11-04,156363.0,40.0,28.143,7284.0,0.0,2.286,3925.225,1.004,0.706,182.852,0.0,0.057,0.95,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-11-05,156392.0,29.0,28.0,7284.0,0.0,2.143,3925.953,0.728,0.703,182.852,0.0,0.054,0.96,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-11-06,156397.0,5.0,26.714,7284.0,0.0,1.714,3926.078,0.126,0.671,182.852,0.0,0.043,0.96,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-11-07,156397.0,0.0,21.0,7284.0,0.0,0.571,3926.078,0.0,0.527,182.852,0.0,0.014,0.96,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-11-08,156397.0,0.0,16.143,7288.0,4.0,1.0,3926.078,0.0,0.405,182.953,0.1,0.025,0.98,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-11-09,156397.0,0.0,12.857,7290.0,2.0,1.286,3926.078,0.0,0.323,183.003,0.05,0.032,1.0,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-11-10,156414.0,17.0,13.0,7291.0,1.0,1.0,3926.505,0.427,0.326,183.028,0.025,0.025,1.04,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2021-11-11,156456.0,42.0,13.286,7292.0,1.0,1.143,3927.559,1.054,0.334,183.053,0.025,0.029,1.08,,,,,,,,,,,,,,,,,,,,,,,36635.0,,,,,920.0,60035.0,0.151,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
